Entity,Code,Year,Annual CO₂ emissions
Comoros,COM,1989,51296
Comoros,COM,1990,65952
Comoros,COM,1991,65952
Comoros,COM,1992,69616
Comoros,COM,1993,73280
Comoros,COM,1994,73280
Comoros,COM,1995,76944
Comoros,COM,1996,80608
Comoros,COM,1997,84272
Comoros,COM,1998,91600
Comoros,COM,1999,95264
Comoros,COM,2000,102592
Comoros,COM,2001,106256
Comoros,COM,2002,106256
Comoros,COM,2003,135568
Comoros,COM,2004,146560
Comoros,COM,2005,142896
Comoros,COM,2006,164880
Comoros,COM,2007,106256
Comoros,COM,2008,109920
Comoros,COM,2009,135568
Comoros,COM,2010,161216
Comoros,COM,2011,142896
Comoros,COM,2012,153888
Comoros,COM,2013,183200
Comoros,COM,2014,161216
Comoros,COM,2015,179536
Comoros,COM,2016,208848
Comoros,COM,2017,260144
Comoros,COM,2018,285792
Comoros,COM,2019,311440
Comoros,COM,2020,373728
Comoros,COM,2021,498304
Comoros,COM,2022,450916
Comoros,COM,2023,448731
Congo,COG,1950,88807
Congo,COG,1951,118409
Congo,COG,1952,153562
Congo,COG,1953,129510
Congo,COG,1954,136910
Congo,COG,1955,135060
Congo,COG,1956,175763
Congo,COG,1957,188714
Congo,COG,1958,216466
Congo,COG,1959,186864
Congo,COG,1960,223504
Congo,COG,1961,267472
Congo,COG,1962,238160
Congo,COG,1963,234496
Congo,COG,1964,267472
Congo,COG,1965,245488
Congo,COG,1966,307776
Congo,COG,1967,322432
Congo,COG,1968,450672
Congo,COG,1969,501968.03
Congo,COG,1970,571584
Congo,COG,1971,685168
Congo,COG,1972,663184
Congo,COG,1973,1220112
Congo,COG,1974,1623152
Congo,COG,1975,1099200
Congo,COG,1976,1234768
Congo,COG,1977,479984
Congo,COG,1978,322432
Congo,COG,1979,348080
Congo,COG,1980,405529
Congo,COG,1981,470724
Congo,COG,1982,1343102
Congo,COG,1983,1142452
Congo,COG,1984,1139504
Congo,COG,1985,1275224
Congo,COG,1986,1062373
Congo,COG,1987,1320092
Congo,COG,1988,1492941
Congo,COG,1989,1495627
Congo,COG,1990,1007907.06
Congo,COG,1991,1082796
Congo,COG,1992,1289163
Congo,COG,1993,1160443
Congo,COG,1994,3383880
Congo,COG,1995,3224670
Congo,COG,1996,4037411.2
Congo,COG,1997,4830572
Congo,COG,1998,3869270
Congo,COG,1999,3915579
Congo,COG,2000,4284250
Congo,COG,2001,4177806.8
Congo,COG,2002,2720283
Congo,COG,2003,3258111
Congo,COG,2004,3548607
Congo,COG,2005,4352130
Congo,COG,2006,4785876
Congo,COG,2007,4259311
Congo,COG,2008,4270264
Congo,COG,2009,4943653
Congo,COG,2010,5499943
Congo,COG,2011,5046421
Congo,COG,2012,5018026
Congo,COG,2013,5890374
Congo,COG,2014,5471087
Congo,COG,2015,5636681
Congo,COG,2016,5729264
Congo,COG,2017,5652616
Congo,COG,2018,6546503
Congo,COG,2019,7293597
Congo,COG,2020,7677297
Congo,COG,2021,7414592
Congo,COG,2022,8111232
Congo,COG,2023,7674340
Cook Islands,COK,1969,10992
Cook Islands,COK,1970,10992
Cook Islands,COK,1971,10992
Cook Islands,COK,1972,10992
Cook Islands,COK,1973,10992
Cook Islands,COK,1974,10992
Cook Islands,COK,1975,14656
Cook Islands,COK,1976,14656
Cook Islands,COK,1977,29312
Cook Islands,COK,1978,29312
Cook Islands,COK,1979,25648
Cook Islands,COK,1980,29312
Cook Islands,COK,1981,65952
Cook Islands,COK,1982,51296
Cook Islands,COK,1983,51296
Cook Islands,COK,1984,21984
Cook Islands,COK,1985,21984
Cook Islands,COK,1986,21984
Cook Islands,COK,1987,21984
Cook Islands,COK,1988,21984
Cook Islands,COK,1989,21984
Cook Islands,COK,1990,43968
Cook Islands,COK,1991,43968
Cook Islands,COK,1992,43968
Cook Islands,COK,1993,47632
Cook Islands,COK,1994,47632
Cook Islands,COK,1995,47632
Cook Islands,COK,1996,51296
Cook Islands,COK,1997,51296
Cook Islands,COK,1998,47632
Cook Islands,COK,1999,51296
Cook Islands,COK,2000,51296
Cook Islands,COK,2001,51296
Cook Islands,COK,2002,43968
Cook Islands,COK,2003,51296
Cook Islands,COK,2004,54960
Cook Islands,COK,2005,62288
Cook Islands,COK,2006,65952
Cook Islands,COK,2007,65952
Cook Islands,COK,2008,65952
Cook Islands,COK,2009,65952
Cook Islands,COK,2010,73280
Cook Islands,COK,2011,80608
Cook Islands,COK,2012,84272
Cook Islands,COK,2013,84272
Cook Islands,COK,2014,80608
Cook Islands,COK,2015,76944
Cook Islands,COK,2016,69616
Cook Islands,COK,2017,76944
Cook Islands,COK,2018,76944
Cook Islands,COK,2019,76944
Cook Islands,COK,2020,65952
Cook Islands,COK,2021,69616
Cook Islands,COK,2022,71282
Cook Islands,COK,2023,72832
Costa Rica,CRI,1870,3
Costa Rica,CRI,1871,8
Costa Rica,CRI,1872,8
Costa Rica,CRI,1873,23
Costa Rica,CRI,1874,64
Costa Rica,CRI,1875,26
Costa Rica,CRI,1876,31
Costa Rica,CRI,1877,92
Costa Rica,CRI,1878,546
Costa Rica,CRI,1879,946
Costa Rica,CRI,1880,551
Costa Rica,CRI,1881,95
Costa Rica,CRI,1882,82
Costa Rica,CRI,1883,685
Costa Rica,CRI,1884,1762
Costa Rica,CRI,1885,1149
Costa Rica,CRI,1886,2529
Costa Rica,CRI,1887,1634
Costa Rica,CRI,1888,623
Costa Rica,CRI,1889,5540
Costa Rica,CRI,1890,16245
Costa Rica,CRI,1891,12185
Costa Rica,CRI,1892,35702
Costa Rica,CRI,1893,28272
Costa Rica,CRI,1894,29723
Costa Rica,CRI,1895,23481
Costa Rica,CRI,1896,26633
Costa Rica,CRI,1897,23470
Costa Rica,CRI,1898,32837
Costa Rica,CRI,1899,29611
Costa Rica,CRI,1900,30344
Costa Rica,CRI,1901,31914
Costa Rica,CRI,1902,22224
Costa Rica,CRI,1903,38282
Costa Rica,CRI,1904,34871
Costa Rica,CRI,1905,24499
Costa Rica,CRI,1906,76788
Costa Rica,CRI,1907,62304
Costa Rica,CRI,1908,90042
Costa Rica,CRI,1909,51853
Costa Rica,CRI,1910,98129
Costa Rica,CRI,1911,110884
Costa Rica,CRI,1912,112400
Costa Rica,CRI,1913,112418
Costa Rica,CRI,1914,98891
Costa Rica,CRI,1915,71555
Costa Rica,CRI,1916,57672
Costa Rica,CRI,1917,26510
Costa Rica,CRI,1918,4191
Costa Rica,CRI,1919,30678
Costa Rica,CRI,1920,35920
Costa Rica,CRI,1921,8554
Costa Rica,CRI,1922,5899
Costa Rica,CRI,1923,8023.0005
Costa Rica,CRI,1924,9067
Costa Rica,CRI,1925,3062
Costa Rica,CRI,1926,1531
Costa Rica,CRI,1927,1531
Costa Rica,CRI,1928,20288
Costa Rica,CRI,1929,20223
Costa Rica,CRI,1930,11272
Costa Rica,CRI,1931,5812
Costa Rica,CRI,1932,6892
Costa Rica,CRI,1933,382
Costa Rica,CRI,1934,382
Costa Rica,CRI,1935,7656
Costa Rica,CRI,1936,767
Costa Rica,CRI,1937,8038
Costa Rica,CRI,1938,767
Costa Rica,CRI,1939,382
Costa Rica,CRI,1940,3829
Costa Rica,CRI,1941,382
Costa Rica,CRI,1942,767
Costa Rica,CRI,1943,713
Costa Rica,CRI,1944,6125
Costa Rica,CRI,1945,382
Costa Rica,CRI,1946,382
Costa Rica,CRI,1947,382
Costa Rica,CRI,1948,7656
Costa Rica,CRI,1949,382
Costa Rica,CRI,1950,286174
Costa Rica,CRI,1951,312207
Costa Rica,CRI,1952,388384
Costa Rica,CRI,1953,432352
Costa Rica,CRI,1954,406704
Costa Rica,CRI,1955,348080
Costa Rica,CRI,1956,483648
Costa Rica,CRI,1957,461664
Costa Rica,CRI,1958,447008
Costa Rica,CRI,1959,384720
Costa Rica,CRI,1960,490976
Costa Rica,CRI,1961,490976
Costa Rica,CRI,1962,549600
Costa Rica,CRI,1963,600896
Costa Rica,CRI,1964,674057
Costa Rica,CRI,1965,845909
Costa Rica,CRI,1966,992469
Costa Rica,CRI,1967,875250
Costa Rica,CRI,1968,1036376.94
Costa Rica,CRI,1969,1146178
Costa Rica,CRI,1970,1248681
Costa Rica,CRI,1971,1527026
Costa Rica,CRI,1972,1761314
Costa Rica,CRI,1973,2043412.9
Costa Rica,CRI,1974,1904091
Costa Rica,CRI,1975,2035847
Costa Rica,CRI,1976,2081855
Costa Rica,CRI,1977,2607419
Costa Rica,CRI,1978,2912043
Costa Rica,CRI,1979,2780982
Costa Rica,CRI,1980,2448461
Costa Rica,CRI,1981,2236213
Costa Rica,CRI,1982,2070622
Costa Rica,CRI,1983,2088813.1
Costa Rica,CRI,1984,1980949
Costa Rica,CRI,1985,2242455
Costa Rica,CRI,1986,2577534
Costa Rica,CRI,1987,2723861
Costa Rica,CRI,1988,2905922
Costa Rica,CRI,1989,2933345
Costa Rica,CRI,1990,2913015
Costa Rica,CRI,1991,3287914
Costa Rica,CRI,1992,3741868
Costa Rica,CRI,1993,3890892
Costa Rica,CRI,1994,5199850
Costa Rica,CRI,1995,4800770
Costa Rica,CRI,1996,4686377
Costa Rica,CRI,1997,4916182
Costa Rica,CRI,1998,5234101
Costa Rica,CRI,1999,5437766
Costa Rica,CRI,2000,5393873
Costa Rica,CRI,2001,5666567
Costa Rica,CRI,2002,6245400
Costa Rica,CRI,2003,6582545
Costa Rica,CRI,2004,6841678
Costa Rica,CRI,2005,6723403
Costa Rica,CRI,2006,7006724
Costa Rica,CRI,2007,7960740
Costa Rica,CRI,2008,7989944
Costa Rica,CRI,2009,7747752
Costa Rica,CRI,2010,7492647
Costa Rica,CRI,2011,7310815
Costa Rica,CRI,2012,7260085
Costa Rica,CRI,2013,7631517
Costa Rica,CRI,2014,7748309
Costa Rica,CRI,2015,7406021
Costa Rica,CRI,2016,7855934
Costa Rica,CRI,2017,8029008
Costa Rica,CRI,2018,8012376
Costa Rica,CRI,2019,7698382
Costa Rica,CRI,2020,6770508
Costa Rica,CRI,2021,7647175
Costa Rica,CRI,2022,7847264
Costa Rica,CRI,2023,8279033.5
Cote d'Ivoire,CIV,1950,551249
Cote d'Ivoire,CIV,1951,460931
Cote d'Ivoire,CIV,1952,515433
Cote d'Ivoire,CIV,1953,428230
Cote d'Ivoire,CIV,1954,504533
Cote d'Ivoire,CIV,1955,502976
Cote d'Ivoire,CIV,1956,582393
Cote d'Ivoire,CIV,1957,596408
Cote d'Ivoire,CIV,1958,498304
Cote d'Ivoire,CIV,1959,545936
Cote d'Ivoire,CIV,1960,461664
Cote d'Ivoire,CIV,1961,553264
Cote d'Ivoire,CIV,1962,586240
Cote d'Ivoire,CIV,1963,622880
Cote d'Ivoire,CIV,1964,762112
Cote d'Ivoire,CIV,1965,1172480
Cote d'Ivoire,CIV,1966,1238432
Cote d'Ivoire,CIV,1967,1359344
Cote d'Ivoire,CIV,1968,1597504
Cote d'Ivoire,CIV,1969,1890624
Cote d'Ivoire,CIV,1970,2242368
Cote d'Ivoire,CIV,1971,2454880
Cote d'Ivoire,CIV,1972,2711360
Cote d'Ivoire,CIV,1973,2876240
Cote d'Ivoire,CIV,1974,3242640
Cote d'Ivoire,CIV,1975,3986432
Cote d'Ivoire,CIV,1976,3960784
Cote d'Ivoire,CIV,1977,4052384
Cote d'Ivoire,CIV,1978,4814496
Cote d'Ivoire,CIV,1979,5419056
Cote d'Ivoire,CIV,1980,5569280
Cote d'Ivoire,CIV,1981,3865520
Cote d'Ivoire,CIV,1982,5554624
Cote d'Ivoire,CIV,1983,4517712
Cote d'Ivoire,CIV,1984,5133264
Cote d'Ivoire,CIV,1985,6983584
Cote d'Ivoire,CIV,1986,5576608
Cote d'Ivoire,CIV,1987,7349984
Cote d'Ivoire,CIV,1988,8804592
Cote d'Ivoire,CIV,1989,8265983.5
Cote d'Ivoire,CIV,1990,4781520
Cote d'Ivoire,CIV,1991,4308864
Cote d'Ivoire,CIV,1992,3843536
Cote d'Ivoire,CIV,1993,5092960
Cote d'Ivoire,CIV,1994,4132991.8
Cote d'Ivoire,CIV,1995,6225337
Cote d'Ivoire,CIV,1996,7526009
Cote d'Ivoire,CIV,1997,7211238
Cote d'Ivoire,CIV,1998,6755485
Cote d'Ivoire,CIV,1999,6091911
Cote d'Ivoire,CIV,2000,6633573
Cote d'Ivoire,CIV,2001,7649681
Cote d'Ivoire,CIV,2002,7450165
Cote d'Ivoire,CIV,2003,5300525
Cote d'Ivoire,CIV,2004,7386261
Cote d'Ivoire,CIV,2005,7564355
Cote d'Ivoire,CIV,2006,6887238
Cote d'Ivoire,CIV,2007,6653270
Cote d'Ivoire,CIV,2008,6712605
Cote d'Ivoire,CIV,2009,5659943
Cote d'Ivoire,CIV,2010,6224746
Cote d'Ivoire,CIV,2011,6523170
Cote d'Ivoire,CIV,2012,8540010
Cote d'Ivoire,CIV,2013,9679770
Cote d'Ivoire,CIV,2014,9903225
Cote d'Ivoire,CIV,2015,9554745
Cote d'Ivoire,CIV,2016,11982746
Cote d'Ivoire,CIV,2017,12001905
Cote d'Ivoire,CIV,2018,10415200
Cote d'Ivoire,CIV,2019,10535081
Cote d'Ivoire,CIV,2020,11015523
Cote d'Ivoire,CIV,2021,13669025
Cote d'Ivoire,CIV,2022,13643841
Cote d'Ivoire,CIV,2023,13195601
Croatia,HRV,1885,4927
Croatia,HRV,1890,14781
Croatia,HRV,1891,17245
Croatia,HRV,1892,19093
Croatia,HRV,1893,33874
Croatia,HRV,1894,64669
Croatia,HRV,1895,64669
Croatia,HRV,1896,72059
Croatia,HRV,1897,56046
Croatia,HRV,1898,84993
Croatia,HRV,1899,99159
Croatia,HRV,1900,134264
Croatia,HRV,1901,146582
Croatia,HRV,1902,137344
Croatia,HRV,1903,149046
Croatia,HRV,1904,158900
Croatia,HRV,1905,172450
Croatia,HRV,1906,206324
Croatia,HRV,1907,210019
Croatia,HRV,1908,226032
Croatia,HRV,1909,232191
Croatia,HRV,1910,229728
Croatia,HRV,1911,248820
Croatia,HRV,1912,254979.02
Croatia,HRV,1913,700269
Croatia,HRV,1919,501952
Croatia,HRV,1920,666395
Croatia,HRV,1921,709507
Croatia,HRV,1922,1031003
Croatia,HRV,1923,1124619
Croatia,HRV,1924,1152950
Croatia,HRV,1925,1265658
Croatia,HRV,1926,1232400
Croatia,HRV,1927,1392532
Croatia,HRV,1928,1559759
Croatia,HRV,1929,1725113
Croatia,HRV,1930,1623491
Croatia,HRV,1931,1476939
Croatia,HRV,1932,1350283
Croatia,HRV,1933,1248665
Croatia,HRV,1934,1299474
Croatia,HRV,1935,1358385
Croatia,HRV,1936,1342862
Croatia,HRV,1937,1497400
Croatia,HRV,1938,1413553
Croatia,HRV,1939,1484971
Croatia,HRV,1940,1731888
Croatia,HRV,1943,61241
Croatia,HRV,1944,15397
Croatia,HRV,1945,869905
Croatia,HRV,1946,1709403
Croatia,HRV,1947,2369802
Croatia,HRV,1948,2675084
Croatia,HRV,1949,3057725
Croatia,HRV,1950,2945888
Croatia,HRV,1951,2788609
Croatia,HRV,1952,2795088
Croatia,HRV,1953,2780425
Croatia,HRV,1954,3318237
Croatia,HRV,1955,3799314
Croatia,HRV,1956,4348484
Croatia,HRV,1957,4717098
Croatia,HRV,1958,4649629
Croatia,HRV,1959,5331592
Croatia,HRV,1960,5826226
Croatia,HRV,1961,6109747
Croatia,HRV,1962,6269274
Croatia,HRV,1963,6974936
Croatia,HRV,1964,7907853
Croatia,HRV,1965,8143553.5
Croatia,HRV,1966,8071932
Croatia,HRV,1967,8160755
Croatia,HRV,1968,8729500
Croatia,HRV,1969,9052843
Croatia,HRV,1970,11840617
Croatia,HRV,1971,12753912
Croatia,HRV,1972,11936694
Croatia,HRV,1973,14278370
Croatia,HRV,1974,14333807
Croatia,HRV,1975,14949145
Croatia,HRV,1976,15425190
Croatia,HRV,1977,14992808
Croatia,HRV,1978,16761333
Croatia,HRV,1979,18235766
Croatia,HRV,1980,17924334
Croatia,HRV,1981,19479048
Croatia,HRV,1982,17890294
Croatia,HRV,1983,19265898
Croatia,HRV,1984,20319822
Croatia,HRV,1985,20730178
Croatia,HRV,1986,21656288
Croatia,HRV,1987,21138486
Croatia,HRV,1988,21819722
Croatia,HRV,1989,21751362
Croatia,HRV,1990,22874490
Croatia,HRV,1991,16992688
Croatia,HRV,1992,16374968
Croatia,HRV,1993,16807774
Croatia,HRV,1994,16051529
Croatia,HRV,1995,16811348
Croatia,HRV,1996,17335912
Croatia,HRV,1997,18566836
Croatia,HRV,1998,19038722
Croatia,HRV,1999,20081424
Croatia,HRV,2000,19652270
Croatia,HRV,2001,20776024
Croatia,HRV,2002,21916044
Croatia,HRV,2003,23227370
Croatia,HRV,2004,22854530
Croatia,HRV,2005,23297976
Croatia,HRV,2006,23499118
Croatia,HRV,2007,24804672
Croatia,HRV,2008,23520154
Croatia,HRV,2009,21756484
Croatia,HRV,2010,20986248
Croatia,HRV,2011,20620634
Croatia,HRV,2012,19056300
Croatia,HRV,2013,18406078
Croatia,HRV,2014,17657192
Croatia,HRV,2015,17803006
Croatia,HRV,2016,18089980
Croatia,HRV,2017,18719100
Croatia,HRV,2018,17702566
Croatia,HRV,2019,17830288
Croatia,HRV,2020,16881604
Croatia,HRV,2021,17410670
Croatia,HRV,2022,17608212
Croatia,HRV,2023,17524080
Cuba,CUB,1856,384520
Cuba,CUB,1857,360731
Cuba,CUB,1858,338413
Cuba,CUB,1859,317476
Cuba,CUB,1860,297835
Cuba,CUB,1861,442156
Cuba,CUB,1862,592261
Cuba,CUB,1863,370691
Cuba,CUB,1864,611289
Cuba,CUB,1865,588783
Cuba,CUB,1866,591925
Cuba,CUB,1867,634260
Cuba,CUB,1868,599955
Cuba,CUB,1869,685097
Cuba,CUB,1870,626027
Cuba,CUB,1871,609019
Cuba,CUB,1872,618543
Cuba,CUB,1873,641844
Cuba,CUB,1874,650764
Cuba,CUB,1875,652685
Cuba,CUB,1876,561950
Cuba,CUB,1877,589335
Cuba,CUB,1878,686376
Cuba,CUB,1879,697184
Cuba,CUB,1880,589748
Cuba,CUB,1881,606360
Cuba,CUB,1882,615131
Cuba,CUB,1883,596411
Cuba,CUB,1884,585408
Cuba,CUB,1885,609132
Cuba,CUB,1886,575572
Cuba,CUB,1887,642752
Cuba,CUB,1888,715587
Cuba,CUB,1889,793331
Cuba,CUB,1890,771805
Cuba,CUB,1891,923859
Cuba,CUB,1892,1021613.94
Cuba,CUB,1893,968271
Cuba,CUB,1894,1042539.94
Cuba,CUB,1895,996245
Cuba,CUB,1896,798533
Cuba,CUB,1897,754998
Cuba,CUB,1898,837548
Cuba,CUB,1899,941341
Cuba,CUB,1900,943859
Cuba,CUB,1901,1016461
Cuba,CUB,1902,992375
Cuba,CUB,1903,1213886
Cuba,CUB,1904,1348721
Cuba,CUB,1905,1645547
Cuba,CUB,1906,1883687
Cuba,CUB,1907,1946014
Cuba,CUB,1908,1896998
Cuba,CUB,1909,2004545
Cuba,CUB,1910,2386393
Cuba,CUB,1911,2818949
Cuba,CUB,1912,3279130
Cuba,CUB,1913,3288941
Cuba,CUB,1914,3013496
Cuba,CUB,1915,3134791
Cuba,CUB,1916,3641798
Cuba,CUB,1917,3983881
Cuba,CUB,1918,3893284
Cuba,CUB,1919,2687464
Cuba,CUB,1920,3629566
Cuba,CUB,1921,1512693
Cuba,CUB,1922,1380852
Cuba,CUB,1923,1796696
Cuba,CUB,1924,1571502
Cuba,CUB,1925,1703763
Cuba,CUB,1926,1636035
Cuba,CUB,1927,1652342
Cuba,CUB,1928,1594829
Cuba,CUB,1929,860162
Cuba,CUB,1930,1298420
Cuba,CUB,1931,959853
Cuba,CUB,1932,773249
Cuba,CUB,1933,757937
Cuba,CUB,1934,815358
Cuba,CUB,1935,792390
Cuba,CUB,1936,922541
Cuba,CUB,1937,983788
Cuba,CUB,1938,884261
Cuba,CUB,1939,704345
Cuba,CUB,1940,681378
Cuba,CUB,1941,562473
Cuba,CUB,1942,470214
Cuba,CUB,1943,734342
Cuba,CUB,1944,527440
Cuba,CUB,1945,556902
Cuba,CUB,1946,477541
Cuba,CUB,1947,556883
Cuba,CUB,1948,419375
Cuba,CUB,1949,338900
Cuba,CUB,1950,5641091
Cuba,CUB,1951,6469079
Cuba,CUB,1952,6282067
Cuba,CUB,1953,6190526
Cuba,CUB,1954,5948642
Cuba,CUB,1955,6776647
Cuba,CUB,1956,5841673
Cuba,CUB,1957,13865625
Cuba,CUB,1958,17994686
Cuba,CUB,1959,15664738
Cuba,CUB,1960,13687099
Cuba,CUB,1961,12168303
Cuba,CUB,1962,14154546
Cuba,CUB,1963,13025915
Cuba,CUB,1964,14279003
Cuba,CUB,1965,14594137
Cuba,CUB,1966,15169385
Cuba,CUB,1967,15736880
Cuba,CUB,1968,16019522
Cuba,CUB,1969,17243298
Cuba,CUB,1970,18654088
Cuba,CUB,1971,19588660
Cuba,CUB,1972,20777370
Cuba,CUB,1973,22375342
Cuba,CUB,1974,22888060
Cuba,CUB,1975,27039482
Cuba,CUB,1976,27197066
Cuba,CUB,1977,29374202
Cuba,CUB,1978,30661204
Cuba,CUB,1979,31684546
Cuba,CUB,1980,31374024
Cuba,CUB,1981,32723480
Cuba,CUB,1982,34527344
Cuba,CUB,1983,30820618
Cuba,CUB,1984,32580692
Cuba,CUB,1985,32556046
Cuba,CUB,1986,33546752
Cuba,CUB,1987,33933260
Cuba,CUB,1988,35616450
Cuba,CUB,1989,35719060
Cuba,CUB,1990,29648420
Cuba,CUB,1991,27170202
Cuba,CUB,1992,20593126
Cuba,CUB,1993,19822772
Cuba,CUB,1994,21382318
Cuba,CUB,1995,22835124
Cuba,CUB,1996,23332950
Cuba,CUB,1997,24808970
Cuba,CUB,1998,24293962
Cuba,CUB,1999,24467108
Cuba,CUB,2000,25284420
Cuba,CUB,2001,24680938
Cuba,CUB,2002,25153586
Cuba,CUB,2003,25569018
Cuba,CUB,2004,24546968
Cuba,CUB,2005,25676784
Cuba,CUB,2006,26785184
Cuba,CUB,2007,25724220
Cuba,CUB,2008,27738204
Cuba,CUB,2009,27821070
Cuba,CUB,2010,33038394
Cuba,CUB,2011,29068348
Cuba,CUB,2012,29475822
Cuba,CUB,2013,27897744
Cuba,CUB,2014,27370000
Cuba,CUB,2015,29091326
Cuba,CUB,2016,27768582
Cuba,CUB,2017,24566498
Cuba,CUB,2018,23019470
Cuba,CUB,2019,22494244
Cuba,CUB,2020,21277170
Cuba,CUB,2021,22552592
Cuba,CUB,2022,21882280
Cuba,CUB,2023,23097436
Curacao,CUW,1926,0
Curacao,CUW,1927,0
Curacao,CUW,1928,0
Curacao,CUW,1929,0
Curacao,CUW,1930,0
Curacao,CUW,1931,0
Curacao,CUW,1932,0
Curacao,CUW,1933,0
Curacao,CUW,1934,0
Curacao,CUW,1935,0
Curacao,CUW,1936,0
Curacao,CUW,1937,0
Curacao,CUW,1938,0
Curacao,CUW,1939,0
Curacao,CUW,1940,0
Curacao,CUW,1941,0
Curacao,CUW,1942,0
Curacao,CUW,1943,0
Curacao,CUW,1944,0
Curacao,CUW,1945,0
Curacao,CUW,1946,0
Curacao,CUW,1947,0
Curacao,CUW,1948,0
Curacao,CUW,1949,0
Curacao,CUW,1950,6164268
Curacao,CUW,1951,9721878
Curacao,CUW,1952,5613392
Curacao,CUW,1953,6496640
Curacao,CUW,1954,13141000
Curacao,CUW,1955,10869792
Curacao,CUW,1956,14058100
Curacao,CUW,1957,9601855
Curacao,CUW,1958,8410855
Curacao,CUW,1959,10826707
Curacao,CUW,1960,9309491
Curacao,CUW,1961,9715723
Curacao,CUW,1962,10669753
Curacao,CUW,1963,10220436
Curacao,CUW,1964,9937304
Curacao,CUW,1965,8915568
Curacao,CUW,1966,8336995
Curacao,CUW,1967,10269676
Curacao,CUW,1968,9549537
Curacao,CUW,1969,12497799
Curacao,CUW,1970,13978085
Curacao,CUW,1971,12165427
Curacao,CUW,1972,11796125
Curacao,CUW,1973,13085605
Curacao,CUW,1974,11860753
Curacao,CUW,1975,8589351
Curacao,CUW,1976,18348160
Curacao,CUW,1977,9583390
Curacao,CUW,1978,8161576.5
Curacao,CUW,1979,8561654
Curacao,CUW,1980,8810933
Curacao,CUW,1981,8392390
Curacao,CUW,1982,9383351
Curacao,CUW,1983,4822470
Curacao,CUW,1984,12042326
Curacao,CUW,1985,14095030
Curacao,CUW,1986,2702060
Curacao,CUW,1987,2402194
Curacao,CUW,1988,2366340
Curacao,CUW,1989,4504520
Curacao,CUW,1990,4823944
Curacao,CUW,1991,3849377
Curacao,CUW,1992,3171417
Curacao,CUW,1993,4895651
Curacao,CUW,1994,4693567
Curacao,CUW,1995,4644676
Curacao,CUW,1996,4344809
Curacao,CUW,1997,4546893
Curacao,CUW,1998,250975.02
Curacao,CUW,1999,1880686
Curacao,CUW,2000,4990174
Curacao,CUW,2001,5081438
Curacao,CUW,2002,4898910
Curacao,CUW,2003,4902170
Curacao,CUW,2004,5143367
Curacao,CUW,2005,5097735
Curacao,CUW,2006,5312857
Curacao,CUW,2007,5981038
Curacao,CUW,2008,5752879
Curacao,CUW,2009,5886515
Curacao,CUW,2010,4054720
Curacao,CUW,2011,5172702
Curacao,CUW,2012,6287424
Curacao,CUW,2013,5932016
Curacao,CUW,2014,6796720
Curacao,CUW,2015,7331664
Curacao,CUW,2016,6203152
Curacao,CUW,2017,4968384
Curacao,CUW,2018,4319856
Curacao,CUW,2019,2253360
Curacao,CUW,2020,1813680
Curacao,CUW,2021,2000544.1
Curacao,CUW,2022,1939601
Curacao,CUW,2023,2023421
Cyprus,CYP,1950,267472
Cyprus,CYP,1951,282128
Cyprus,CYP,1952,315104
Cyprus,CYP,1953,366400
Cyprus,CYP,1954,443344
Cyprus,CYP,1955,450672
Cyprus,CYP,1956,674027
Cyprus,CYP,1957,816805
Cyprus,CYP,1958,765451
Cyprus,CYP,1959,831401
Cyprus,CYP,1960,886331
Cyprus,CYP,1961,864318
Cyprus,CYP,1962,904622
Cyprus,CYP,1963,985230
Cyprus,CYP,1964,999975
Cyprus,CYP,1965,1150110
Cyprus,CYP,1966,1241710
Cyprus,CYP,1967,1362265
Cyprus,CYP,1968,1622201
Cyprus,CYP,1969,1669803
Cyprus,CYP,1970,1702690
Cyprus,CYP,1971,1883533
Cyprus,CYP,1972,2405937
Cyprus,CYP,1973,2503532
Cyprus,CYP,1974,1928765
Cyprus,CYP,1975,1990826
Cyprus,CYP,1976,2487684
Cyprus,CYP,1977,2699378
Cyprus,CYP,1978,2845021
Cyprus,CYP,1979,3045443
Cyprus,CYP,1980,3260647
Cyprus,CYP,1981,3095654
Cyprus,CYP,1982,3157205
Cyprus,CYP,1983,3151348
Cyprus,CYP,1984,3234557
Cyprus,CYP,1985,3144994
Cyprus,CYP,1986,3606067
Cyprus,CYP,1987,4184954.2
Cyprus,CYP,1988,4197559
Cyprus,CYP,1989,4429735
Cyprus,CYP,1990,4643892
Cyprus,CYP,1991,5132063
Cyprus,CYP,1992,5504151
Cyprus,CYP,1993,5747712
Cyprus,CYP,1994,5989884
Cyprus,CYP,1995,5860148
Cyprus,CYP,1996,6209978
Cyprus,CYP,1997,6296240
Cyprus,CYP,1998,6590239
Cyprus,CYP,1999,6856407
Cyprus,CYP,2000,7102160
Cyprus,CYP,2001,6976048
Cyprus,CYP,2002,7167065
Cyprus,CYP,2003,7557280
Cyprus,CYP,2004,7786729
Cyprus,CYP,2005,7958195
Cyprus,CYP,2006,8185880.5
Cyprus,CYP,2007,8504394
Cyprus,CYP,2008,8716733
Cyprus,CYP,2009,8471252
Cyprus,CYP,2010,8102210
Cyprus,CYP,2011,7788881
Cyprus,CYP,2012,7263977
Cyprus,CYP,2013,6583855
Cyprus,CYP,2014,6952094
Cyprus,CYP,2015,6972854
Cyprus,CYP,2016,7374974
